Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,528816317,6784.445171156243,3224435,41.36786585852864,486278,6294969,80.76125993409588,8111,0.10406001670944708,1380,
United States of America,Americas,83551386,25241.908,698712,211.09,136522,998070,301.529,1849,0.559,558
India,South-East Asia,43168585,3128.148,21055,1.526,4041,524651,38.018,112,0.008,10
Brazil,Americas,31060017,14612.393,213415,100.403,40979,666801,313.701,764,0.359,125
France,Europe,28687573,44108.019,126033,193.78,25365,145123,223.131,318,0.489,41
Germany,Europe,26452148,31806.173,217820,261.908,28481,139313,167.511,32,0.038,0
The United Kingdom,Europe,22305897,32857.873,29914,44.065,0,178749,263.308,215,0.317,0
Russian Federation,Europe,18343964,12570.002,28672,19.647,4188,379363,259.954,579,0.397,78
Republic of Korea,Western Pacific,18141835,35385.456,88548,172.712,12542,24229,47.258,126,0.246,17
Italy,Europe,17457950,29271.486,122882,206.034,17718,166835,279.73,464,0.778,79
Turkey,Europe,15073722,17872.764,5628,6.673,0,98969,117.347,21,0.025,0
Spain,Europe,12392538,26181.816,25807,54.523,0,106511,225.027,66,0.139,0
Viet Nam,Western Pacific,10722634,11015.811,8626,8.862,2208,43080,44.258,2,0.002,1
Argentina,Americas,9230573,20423.531,51778,114.564,0,128889,285.179,64,0.142,0
Japan,Western Pacific,8893475,7031.723,155943,123.298,20680,30677,24.255,219,0.173,24
Netherlands,Europe,8088777,46466.968,7874,45.233,1525,22325,128.249,12,0.069,1
Australia,Western Pacific,7341978,28792.202,230026,902.067,34983,8612,33.773,277,1.086,56
Iran (Islamic Republic of),Eastern Mediterranean,7232268,8610.566,1169,1.392,0,141318,168.25,22,0.026,0
Colombia,Americas,6103455,11995.103,4344,8.537,0,139854,274.855,21,0.041,0
Indonesia,South-East Asia,6056017,2214.075,2123,0.776,372,156604,57.254,39,0.014,4
Poland,Europe,6008295,15828.74,1486,3.915,236,116338,306.49,32,0.084,5
Mexico,Americas,5779027,4482.202,9229,7.158,0,324951,252.031,13,0.01,0
Ukraine,Europe,5011433,11458.958,0,0,0,108538,248.179,0,0,0
Portugal,Europe,4775529,46382.782,172536,1675.772,26848,23243,225.75,257,2.496,47
Malaysia,Western Pacific,4510196,13934.982,11139,34.416,1877,35680,110.239,24,0.074,2
Thailand,South-East Asia,4460556,6390.483,26045,37.314,2976,30113,43.142,203,0.291,32
Austria,Europe,4295818,48261.848,16452,184.832,3132,19938,223.996,15,0.169,0
Belgium,Europe,4158754,36092.651,8705,75.548,8,31768,275.705,34,0.295,0
Israel,Europe,4146184,47902.078,14343,165.709,1226,10860,125.469,7,0.081,0
South Africa,Africa,3963394,6682.653,18549,31.275,2970,101250,170.717,158,0.266,31
Czechia,Europe,3920726,36663.067,1351,12.633,176,40290,376.755,7,0.065,1
Canada,Americas,3873060,10261.894,14106,37.375,0,41105,108.91,195,0.517,0
Chile,Americas,3720334,19461.681,54472,284.952,9813,57920,302.989,69,0.361,23
Philippines,Western Pacific,3690889,3368.181,1233,1.125,182,60455,55.169,0,0,0
Switzerland,Europe,3657550,42261.253,3649,42.162,0,13259,153.201,0,0,0
Peru,Americas,3581524,10862.368,4283,12.99,0,213205,646.627,71,0.215,0
Greece,Europe,3461025,32290.003,24768,231.076,3769,29869,278.666,108,1.008,12
China,Western Pacific,3184961,216.475,559151,38.004,77193,17127,1.164,869,0.059,145
Denmark,Europe,3138133,53894.225,3529,60.607,591,6372,109.433,29,0.498,4
Romania,Europe,2909677,15053.554,2086,10.792,182,65686,339.834,17,0.088,1
Sweden,Europe,2509366,24297.694,1122,10.864,252,19014,184.109,7,0.068,0
Iraq,Eastern Mediterranean,2328264,5788.463,599,1.489,0,25219,62.699,1,0.002,0
Serbia,Europe,2017945,29132.827,1679,24.24,242,16083,232.188,7,0.101,0
Bangladesh,South-East Asia,1953563,1186.211,207,0.126,22,29131,17.688,1,0.001,0
Hungary,Europe,1919840,19651.312,2063,21.117,0,46547,476.451,40,0.409,0
Slovakia,Europe,1790017,32796.971,816,14.951,117,20103,368.33,10,0.183,2
Jordan,Eastern Mediterranean,1696937,16631.527,269,2.636,0,14066,137.86,0,0,0
Georgia,Europe,1657729,41555.685,575,14.414,0,16826,421.791,1,0.025,0
Ireland,Europe,1565970,31543.739,3611,72.737,0,7381,148.677,26,0.524,0
Pakistan,Eastern Mediterranean,1530453,692.85,387,0.175,0,30379,13.753,0,0,0
Norway,Europe,1433984,26715.652,1405,26.176,124,3172,59.096,31,0.578,0
Kazakhstan,Europe,1394935,7429.072,86,0.458,17,19016,101.274,1,0.005,0
Singapore,Western Pacific,1310616,22402.383,24400,417.07,3745,1389,23.742,7,0.12,0
New Zealand,Western Pacific,1179634,24462.402,47833,991.926,6301,1163,24.117,77,1.597,12
Morocco,Eastern Mediterranean,1168664,3166.205,1339,3.628,0,16077,43.557,1,0.003,0
Bulgaria,Europe,1165538,16766.756,1180,16.975,182,37153,534.462,32,0.46,3
Croatia,Europe,1137192,28022.32,1643,40.486,486,15995,394.144,17,0.419,4
Cuba,Americas,1105389,9759.217,253,2.234,29,8529,75.301,0,0,0
Finland,Europe,1105211,20002.762,8266,149.603,0,4627,83.742,2,0.036,0
Lebanon,Eastern Mediterranean,1099368,16106.906,469,6.871,0,10432,152.84,8,0.117,0
Lithuania,Europe,1062950,38042.797,761,27.236,128,9147,327.37,5,0.179,1
Tunisia,Eastern Mediterranean,1042872,8823.975,510,4.315,0,28641,242.338,9,0.076,0
Slovenia,Europe,1025656,48937.215,1707,81.446,286,7783,371.351,3,0.143,0
Belarus,Europe,982867,10401.456,0,0,0,6978,73.847,0,0,0
Nepal,South-East Asia,979182,3360.636,69,0.237,19,11952,41.02,0,0,0
Uruguay,Americas,925777,26650.805,9389,270.286,0,7238,208.364,11,0.317,0
Mongolia,Western Pacific,925227,28222.854,1192,36.36,78,2115,64.515,1,0.031,0
Bolivia (Plurinational State of),Americas,909372,7790.374,1414,12.113,510,21948,188.023,2,0.017,0
United Arab Emirates,Eastern Mediterranean,908647,9187.159,2411,24.377,0,2305,23.305,3,0.03,0
Costa Rica,Americas,904934,17764.292,13896,272.785,0,8525,167.35,30,0.589,0
Ecuador,Americas,878196,4977.574,3363,19.061,815,35645,202.034,28,0.159,7
Guatemala,Americas,861916,4810.989,3901,21.774,914,18168,101.409,144,0.804,16
Panama,Americas,861711,19971.206,21965,509.066,3443,8255,191.32,19,0.44,0
Latvia,Europe,828998,43455.935,1109,58.134,176,5828,305.503,8,0.419,2
Azerbaijan,Europe,792785,7819.029,50,0.493,7,9713,95.797,1,0.01,0
Saudi Arabia,Eastern Mediterranean,768648,2207.879,3343,9.602,0,9149,26.28,11,0.032,0
Puerto Rico,Americas,675683,23618.236,23462,820.105,3210,4380,153.101,41,1.433,5
Sri Lanka,South-East Asia,663845,3100.16,41,0.191,0,16518,77.139,4,0.019,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,657705,12892.602,132,2.588,0,5660,110.95,0,0,0
Paraguay,Americas,650661,9122.433,378,5.3,0,18894,264.899,9,0.126,0
Kuwait,Eastern Mediterranean,633225,14827.642,85,1.99,0,2555,59.828,0,0,0
Myanmar,South-East Asia,613355,1127.288,57,0.105,0,19434,35.718,0,0,0
Bahrain,Eastern Mediterranean,586267,34454.373,3137,184.359,0,1488,87.448,3,0.176,0
Dominican Republic,Americas,584526,5388.374,2657,24.493,0,4377,40.349,0,0,0
Estonia,Europe,576870,43407.104,426,32.055,0,2574,193.683,5,0.376,0
Venezuela (Bolivarian Republic of),Americas,523710,1841.719,266,0.935,56,5722,20.122,4,0.014,1
Republic of Moldova,Europe,518967,12864.942,222,5.503,0,11544,286.17,7,0.174,0
Egypt,Eastern Mediterranean,513944,502.22,28,0.027,0,24718,24.154,14,0.014,0
Libya,Eastern Mediterranean,502016,7305.991,29,0.422,0,6430,93.578,0,0,0
Cyprus,Europe,491777,55379.981,1814,204.278,1814,1067,120.157,8,0.901,8
Ethiopia,Africa,472346,410.866,467,0.406,0,7513,6.535,0,0,0
Honduras,Americas,425371,4294.678,258,2.605,0,10899,110.04,0,0,0
Armenia,Europe,422963,14273.696,13,0.439,0,8625,291.067,1,0.034,0
Réunion,Africa,416661,46538.078,2046,228.524,0,784,87.567,7,0.782,0
Oman,Eastern Mediterranean,389473,7626.817,0,0,0,4260,83.421,0,0,0
Bosnia and Herzegovina,Europe,377949,11519.973,120,3.658,21,15788,481.222,1,0.03,0
Qatar,Eastern Mediterranean,369049,12809.518,1242,43.109,0,677,23.498,0,0,0
Kenya,Africa,325170,604.728,701,1.304,100,5651,10.509,0,0,0
Zambia,Africa,321779,1750.325,380,2.067,0,3987,21.687,2,0.011,0
North Macedonia,Europe,312097,14980.32,505,24.239,75,9307,446.726,5,0.24,0
Botswana,Africa,306696,13041.864,0,0,0,2695,114.602,0,0,0
Albania,Europe,276275,9600.215,263,9.139,54,3497,121.516,0,0,0
